MolLogP,MolWt,NumRotatableBonds,num_aromatic_atoms,num_heavy_atoms,Aromatic_Proportion
2.5954000000000006,167.85,0.0,0,6,0.0
2.376500000000001,133.405,0.0,0,5,0.0
2.5938,167.85,1.0,0,6,0.0
2.0289,133.405,1.0,0,5,0.0
2.9189,187.37500000000003,1.0,0,8,0.0
1.81,98.96000000000001,0.0,0,4,0.0
1.9352,96.94399999999999,0.0,0,4,0.0
1.4054,118.176,4.0,0,8,0.0
4.3002,215.894,0.0,6,10,0.6
2.5654000000000003,132.20599999999996,0.0,6,10,0.6
4.3002,215.894,0.0,6,10,0.6
3.6468000000000007,181.44899999999998,0.0,6,9,0.6666666666666666
2.611860000000001,120.195,0.0,6,9,0.6666666666666666
4.7366,393.69800000000004,0.0,6,10,0.6
4.3002,215.894,0.0,6,10,0.6
2.9202800000000018,134.22199999999998,0.0,6,10,0.6
3.974100000000001,314.802,0.0,6,9,0.6666666666666666
3.6468000000000007,181.449,0.0,6,9,0.6666666666666666
2.611860000000001,120.195,0.0,6,9,0.6666666666666666
1.0977999999999999,110.11199999999998,0.0,6,8,0.75
3.2116000000000007,235.90599999999998,0.0,6,8,0.75
1.7762,187.862,1.0,0,4,0.0
2.9934000000000003,147.00399999999996,0.0,6,8,0.75
1.464,98.96000000000001,1.0,0,4,0.0
1.8525,112.98700000000001,1.0,0,5,0.0
2.6495999999999995,170.92000000000002,1.0,0,8,0.0
1.0594000000000001,118.176,5.0,0,8,0.0
2.811400000000001,134.22199999999998,2.0,6,10,0.6
1.503,168.10799999999995,2.0,6,12,0.5
0.4051,58.08,0.0,0,4,0.0
3.974100000000001,314.802,0.0,6,9,0.6666666666666666
3.6468000000000007,181.449,0.0,6,9,0.6666666666666666
2.611860000000001,120.19499999999998,0.0,6,9,0.6666666666666666
1.4112,213.10499999999996,3.0,6,15,0.4
1.0977999999999999,110.11199999999998,0.0,6,8,0.75
1.3584,54.09199999999999,1.0,0,4,0.0
3.2116000000000007,235.90599999999998,0.0,6,8,0.75
2.993400000000001,147.004,0.0,6,8,0.75
1.8540999999999999,112.98700000000001,2.0,0,5,0.0
0.49030000000000007,132.232,2.0,0,8,0.0
1.9648,114.094,0.0,6,8,0.75
3.456640000000002,156.22799999999998,0.0,10,12,0.8333333333333334
1.503,168.10799999999995,2.0,6,12,0.5
1.0977999999999999,110.11199999999998,0.0,6,8,0.75
1.8926,80.12999999999998,0.0,0,6,0.0
3.2116000000000007,235.90599999999998,0.0,6,8,0.75
2.993400000000001,147.00400000000002,0.0,6,8,0.75
2.811400000000001,134.22199999999998,2.0,6,10,0.6
1.9647999999999999,114.094,0.0,6,8,0.75
3.456640000000002,156.228,0.0,10,12,0.8333333333333334
1.503,168.10799999999995,2.0,6,12,0.5
1.7485,68.119,2.0,0,5,0.0
3.456640000000002,156.228,0.0,10,12,0.8333333333333334
2.1386000000000003,82.14599999999999,3.0,0,6,0.0
2.7830000000000004,180.20999999999998,0.0,14,14,1.0
2.7441000000000013,154.253,0.0,0,11,0.0
4.269300000000004,302.4580000000001,0.0,0,22,0.0
2.970200000000001,194.23700000000002,0.0,14,15,0.9333333333333333
2.0373,137.01999999999998,1.0,0,5,0.0
2.1814,137.01999999999998,2.0,0,5,0.0
3.351700000000002,179.101,5.0,0,8,0.0
2.9616000000000016,165.074,4.0,0,7,0.0
3.6023000000000014,207.07,0.0,10,11,0.9090909090909091
3.741800000000003,193.128,6.0,0,9,0.0
2.5715000000000012,151.047,3.0,0,6,0.0
1.7913000000000001,122.993,1.0,0,4,0.0
0.7787999999999999,74.12299999999999,2.0,0,5,0.0
1.5824,56.108,1.0,0,4,0.0
1.0295999999999998,54.09199999999999,0.0,0,4,0.0
