MolLogP,MolWt,NumRotatableBonds,num_aromatic_atoms,num_heavy_atoms,Aromatic_Proportion,valence_electrons,num_aromatic_rings,exact_MolWt,heavyatomWt,LASA
2.5954000000000006,167.85,0.0,0,6,0.0,38,0,165.891060784,165.834,56.31725804975285
2.376500000000001,133.405,0.0,0,5,0.0,32,0,131.930033136,130.381,46.013991822871176
2.5938,167.85,1.0,0,6,0.0,38,0,165.891060784,165.834,56.31725804975285
2.0289,133.405,1.0,0,5,0.0,32,0,131.930033136,130.381,46.013991822871176
2.9189,187.37500000000003,1.0,0,8,0.0,50,0,185.9017677,187.37500000000003,58.51059803164988
1.81,98.96,0.0,0,4,0.0,26,0,97.969005488,94.928,35.71072559598951
1.9352,96.944,0.0,0,4,0.0,24,0,95.953355424,94.928,35.02112256380526
1.4054,118.176,4.0,0,8,0.0,50,0,118.099379688,104.06399999999998,50.791052058826345
4.3002,215.894,0.0,6,10,0.6,54,1,213.891060784,213.878,78.64446802702365
2.5654000000000003,132.20599999999996,0.0,6,10,0.6,52,1,132.093900384,120.10999999999997,61.88534042355416
4.3002,215.894,0.0,6,10,0.6,54,1,213.891060784,213.878,78.64446802702365
3.6468000000000007,181.449,0.0,6,9,0.6666666666666666,48,1,179.930033136,178.42499999999998,68.34120180014197
2.611860000000001,120.195,0.0,6,9,0.6666666666666666,48,1,120.093900384,108.09899999999998,56.52622946268678
4.7366,393.698,0.0,6,10,0.6,54,1,389.688998464,391.682,92.9015935420624
4.3002,215.894,0.0,6,10,0.6,54,1,213.891060784,213.878,78.64446802702365
2.9202800000000018,134.22199999999998,0.0,6,10,0.6,54,1,134.109550448,120.10999999999997,62.89117157708339
3.974100000000001,314.802,0.0,6,9,0.6666666666666666,48,1,311.778486396,311.778,79.03404593642107
3.6468000000000007,181.449,0.0,6,9,0.6666666666666666,48,1,179.930033136,178.42499999999998,68.34120180014197
2.611860000000001,120.195,0.0,6,9,0.6666666666666666,48,1,120.093900384,108.09899999999998,56.526229462686786
1.0978,110.11199999999998,0.0,6,8,0.75,42,1,110.036779432,104.06399999999998,47.01987062388899
3.2116000000000007,235.906,0.0,6,8,0.75,42,1,233.867974328,231.87399999999997,65.16649833077969
1.7762,187.862,1.0,0,4,0.0,26,0,185.867974328,183.82999999999998,42.83928835350887
