Expt.,SLN
-4.35,BrC[2]C[3]=C(CH=CHCH=@2)CH=CHCH=CH@3
-3.33,BrC[2]=C(C(=CHC(=CH@2)C#N)Br)OH
-6.09,BrC[2]=C(CH=C(C(=CH@2)Cl)OP(=S)(OCH3)OCH3)Cl
-4.5,BrC[2]=C(CH=CHC(=CH@2)Br)Br
-5.04,BrC[2]=C(CH=CHCH=C@2Br)Br
-3.5,BrC[2]=C(CH=CHCH=CH@2)Br
-3.19,BrC[2]=C(CH=CHCH=CH@2)Cl
-4.4,BrC[2]=CHC[5]=C(CH=CH@2)CH=CHCH=CH@5
-3.54,BrC[2]=CHC(=CHCH=CH@2)Br
-3.52,BrC[2]=CHC(=CHCH=CH@2)CH3
-3.21,BrC[2]=CHC(=CHCH=CH@2)Cl
-4.07,BrC[2]=CHCH=C(CH=CH@2)Br
-3.19,BrC[2]=CHCH=C(CH=CH@2)CH3
-3.63,BrC[2]=CHCH=C(CH=CH@2)Cl
-4.93,BrC[2]=CHCH=C(CH=CH@2)C(OH)(C[15]=CHCH=C(CH=CH@15)Br)C(=O)OCH(CH3)CH3
-3.08,BrC[2]=CHCH=C(CH=CH@2)NHC(=O)CH3
-1.09,BrC[2]=CHCH=C(CH=CH@2)OH
-2.55,BrC[2]=CHCH=CHCH=CH@2
-2.3,BrC[2]HCH2CH2CH2CH2CH2@2
-3.12,BrC[2]=C(CH=NN(C@2=O)C[10]=CHCH=CHCH=CH@10)NH2
-3.14,BrC(Br)(Br)Br
-2.68,BrC(CH2CH3)(CH2CH3)C(=O)NHC(=O)NH2
-1.17,BrCH2Br
-1.68,BrCH2CH2Br
-2.08,BrCH2CH2CH2Br
-5.06,BrCH2CH2CH2CH2CH2CH2CH2CH3
-4.43,BrCH2CH2CH2CH2CH2CH2CH3
-3.81,BrCH2CH2CH2CH2CH2CH3
-3.07,BrCH2CH2CH2CH2CH3
-2.37,BrCH2CH2CH2CH3
-1.85,BrCH2CH2CH2Cl
-1.73,BrCH2CH2CH3
-2.89,BrCH2CH2CH(CH3)CH3
-1.32,BrCH2CH2Cl
-1.09,BrCH2CH3
-1.5,BrCH2CH=CH2
-2.43,BrCH2CH(CH3)CH3
-0.89,BrCH2Cl
-1.91,BrCH(Br)Br
-1.9,BrCH(Br)Cl
-2.38,BrCH(CH2Br)CH2Cl
-2.15,BrCH(CH2Br)CH3
-1.59,BrCH(CH3)CH3
-1.71,BrCH(Cl)C(F)(F)F
-1.54,BrCH(Cl)Cl
-1.32,BrCH=[S=I]CHBr
-1.32,BrCH=[S=N]CHBr
-9.03,C[1]C[2]C[3]C[4]C[5]=C@1C(CH=CHC=@1CH=CHC=@2CH=CHC=@3CH=CHCH=@4)=CHCH=CH@5
