No,Expt.,ClogP,Polarizability,Predicted,Residual,Predicted,Residual,Predicted,Residual,Predicted,Residual,Data Source ID,Name,SLN
1,-4.35,4.22,133.981,-3.7955,-0.5544999999999995,-3.7035,-0.6464999999999996,-3.7627,-0.5872999999999995,-3.6569,-0.6930999999999998,1,1-bromonapthtalene,BrC[2]C[3]=C(CH=CHCH=@2)CH=CHCH=CH@3
2,-3.33,2.95,130.274,-3.9317,0.6017000000000001,-3.8706,0.5406,-3.8441,0.5141,-3.8367,0.5066999999999999,1,bromoxynil,BrC[2]=C(C(=CHC(=CH@2)C#N)Br)OH
4,-6.09,5.07,193.29,-5.6505,-0.4394999999999998,-5.5381,-0.5518999999999998,-5.8007,-0.2892999999999999,-5.6957,-0.39429999999999943,1,bromophos,BrC[2]=C(CH=C(C(=CH@2)Cl)OP(=S)(OCH3)OCH3)Cl
6,-4.5,4.38,133.603,-4.4934,-0.006599999999999717,-4.5629,0.06289999999999996,-4.4546,-0.045399999999999885,-4.533,0.03300000000000036,1,"1,2,4-tribromobenzene",BrC[2]=C(CH=CHC(=CH@2)Br)Br
7,-5.04,4.22,133.603,-4.4712,-0.5688000000000004,-4.6013,-0.43869999999999987,-4.3274,-0.7126000000000001,-4.4044,-0.6356000000000002,1,"1,2,3-tribromobenzene",BrC[2]=C(CH=CHCH=C@2Br)Br
8,-3.5,3.63,112.871,-3.4757,-0.02430000000000021,-3.4998,-0.00019999999999997797,-3.416,-0.08400000000000007,-3.4378,-0.06219999999999981,1,"1,2-dibromobenzene",BrC[2]=C(CH=CHCH=CH@2)Br
10,-3.19,3.5,105.305,-3.2552,0.06519999999999992,-3.2105,0.020500000000000185,-3.2852,0.09520000000000017,-3.2724,0.08240000000000025,1,1-bromo-2-chlorobenzene,BrC[2]=C(CH=CHCH=CH@2)Cl
12,-4.4,4.22,133.981,-3.8385,-0.5615000000000006,-3.7534,-0.6466000000000003,-3.8461,-0.5539000000000005,-3.7826,-0.6174000000000004,1,2-bromonaphthalene,BrC[2]=CHC[5]=C(CH=CH@2)CH=CHCH=CH@5
14,-3.54,3.72,112.871,-3.4739,-0.06610000000000005,-3.4607,-0.07929999999999993,-3.503,-0.03699999999999992,-3.5449,0.0049000000000001265,1,"1,3-dibromobenzene",BrC[2]=CHC(=CHCH=CH@2)Br
15,-3.52,3.45,104.623,-2.9317,-0.5882999999999998,-2.8554,-0.6646000000000001,-2.9025,-0.6175000000000002,-2.8779,-0.6421000000000001,1,m-bromotoluene,BrC[2]=CHC(=CHCH=CH@2)CH3
16,-3.21,3.54,105.305,-3.2364,0.0264000000000002,-3.1714,-0.038599999999999746,-3.3395,0.12950000000000017,-3.3506,0.14060000000000006,1,1-bromo-3-chlorobenzene,BrC[2]=CHC(=CHCH=CH@2)Cl
18,-4.07,3.79,112.871,-3.4653,-0.6047000000000002,-3.4216,-0.6484000000000001,-3.4989,-0.5711000000000004,-3.5137,-0.5563000000000002,1,"1,4-dibromobenzene",BrC[2]=CHCH=C(CH=CH@2)Br
20,-3.19,3.45,104.623,-2.9636,-0.22639999999999993,-2.897,-0.29300000000000015,-2.933,-0.2570000000000001,-2.9224,-0.26759999999999984,1,p-bromotoluene,BrC[2]=CHCH=C(CH=CH@2)CH3
21,-3.63,3.52,105.305,-3.1971,-0.43290000000000006,-3.1324,-0.4975999999999998,-3.3037,-0.3262999999999998,-3.3153,-0.31469999999999976,1,1-bromo-4-chlorobenzene,BrC[2]=CHCH=C(CH=CH@2)Cl
