No,Expt.,ClogP,Tm,Polarizability,Predicted,Residual,Predicted,Residual,Predicted,Residual,Predicted,Residual,Name,SLN
1,-3.96,4.27,363,130.779,-4.6024,0.6424000000000003,-4.3241,0.36409999999999965,-4.5323,0.5723000000000003,-4.3598,0.39979999999999993,Acenaphthalene  ,C[1]H=CHC[5]=CHCH=CHC[12]CH=CHCH=C@1C@5=@12
2,1.58,-1.23,354,40.535,0.5591,1.0209000000000001,0.4778,1.1022,0.6043,0.9757000000000001,0.5882,0.9918000000000001,Acetamide  ,C(CH3)(=O)NH2
3,0.26,-0.45,298,30.833,0.2921,-0.03210000000000002,0.1923,0.06770000000000001,0.3036,-0.04359999999999997,0.1733,0.0867,Acetonitrile  ,C(CH3)#N
4,-1.28,1.66,298,96.963,-1.5104,0.23039999999999994,-1.5033,0.22330000000000005,-1.5544,0.2744,-1.5432,0.2631999999999999,Acetophenone  ,C(CH3)(=O)C[7]CH=CHCH=CHCH=@7
5,0.97,-0.01,185,42.637,0.2575,0.7124999999999999,0.1195,0.8505,-0.0319,1.0019,-0.1026,1.0726,Acrolein  ,CH(=O)CH=CH2
6,0.57,-0.01,298,42.637,0.2575,0.31249999999999994,0.1195,0.45049999999999996,0.1442,0.42579999999999996,0.0378,0.5322,Acrylaldehyde  ,CH(CH=CH2)=O
7,0.98,-0.78,189,52.363,0.2222,0.7578,0.1901,0.7899,0.1142,0.8658,0.1396,0.8404,Acrylamide  ,C(CH=CH2)(=O)NH2
8,0.15,0.19,298,42.661,-0.0815,0.23149999999999998,-0.0584,0.2084,-0.1577,0.3077,-0.1491,0.29910000000000003,Acrylonitrile  ,C(CH=CH2)#N
9,-1.89,2.3,298,97.536,-1.6622,-0.2278,-1.6282,-0.2617999999999998,-1.6883,-0.2017,-1.679,-0.21099999999999985,Amyl acetate  ,C(CH3)(=O)OCH2CH2CH2CH2CH3
10,-4.15,4.44,298,133.827,-4.3563,0.2062999999999997,-4.5542,0.40419999999999945,-4.4001,0.25009999999999977,-4.4871,0.3370999999999995,t-Amylbenzene  ,C[1](CH=CHCH=CHCH=@1)C(CH2CH3)(CH3)CH3
11,-3.76,5.14,415,216.497,-5.349,1.5890000000000004,-5.1168,1.3567999999999998,-5.2596,1.4996,-5,1.2400000000000002,Androstanedione  ,C[1](C(CH2C[6:s=N](CH(CH2@1)CH2CH2C[18:s=N]HC[20:s=I]HCH2CH2CH2C[s=I]@20(CH3)CH2CH2C[s=I]H@18@6)CH3)=O)=O
12,-1.85,2.13,310,88.198,-1.3344,-0.5156000000000001,-1.2236,-0.6264000000000001,-1.4019,-0.44810000000000016,-1.2942,-0.5558000000000001,Anisole  ,CH3OC[6]CH=CHCH=CHCH=@6
13,-6.39,4.68,489,155.091,-5.0551,-1.3348999999999993,-5.0161,-1.3739,-5.089,-1.3009999999999993,-5.0137,-1.3762999999999996,Anthracene  ,C[1]HCH=CHCH=C[9]CH=C[12]CH=CHCH=CHC@12=CHC=@1@9
14,-5.19,3.38,557,156.923,-4.3214,-0.8686000000000007,-3.9855,-1.2045000000000003,-4.4586,-0.7314000000000007,-4.061,-1.1290000000000004,Anthraquinone  ,C[1]HCH=CHCH=C[9]C(=O)C[12]CH=CHCH=CHC=@12C(=O)C=@1@9
15,-1.19,1.64,298,84.479,-1.2502,0.06020000000000003,-1.205,0.015000000000000124,-1.3445,0.15450000000000008,-1.3025,0.11250000000000004,Benzaldehyde  ,CH(C[3]CH=CHCH=CHCH=@3)=O
16,-0.96,0.74,401,94.205,-1.2244,0.26439999999999997,-1.1124,0.1524000000000001,-1.3019,0.3419000000000001,-1.1803,0.22029999999999994,Benzamide  ,C(C[2]CH=CHCH=CHCH=@2)(=O)NH2
17,-1.64,2.22,279,71.407,-1.5217,-0.11829999999999985,-1.4623,-0.17769999999999997,-1.573,-0.06699999999999995,-1.5112,-0.1287999999999998,Benzene  ,C[1]HCH=CHCH=CHCH=@1
18,-6.68,5.39,460,185.105,-6.5351,-0.1448999999999998,-6.4409,-0.23909999999999965,-6.5325,-0.14749999999999996,-6.5629,-0.11709999999999976,Benzo[a]fluorene  ,C[1]H2C[4]C[5]C(CH=CHC=@4C[12]CH=CHCH=CHC@1=@12)=CHCH=CHCH=@5
19,-7.82,6.4,451,214.463,-7.768,-0.05200000000000049,-7.7176,-0.10240000000000027,-7.7792,-0.04079999999999995,-7.7242,-0.09580000000000055,Benzo[a]pyrene  ,C[1]C(CH=C[5]CH=CHC[10]=CHCH=CHC[17]=CHCH=C@1C@5=C@10@17)=CHCH=CHCH=@1
20,-8.19,6.4,452,214.463,-7.768,-0.4219999999999997,-7.7176,-0.4723999999999995,-7.7585,-0.4314999999999998,-7.6728,-0.5171999999999999,Benzo[a]pyrene  ,C[1]=C(CH=C[5]CH=CHC[10]=CHCH=CHC[17]=CHCH=C@1C@5=C@10@17)CH=CHCH=CH@1
21,-8.04,5.39,482,185.105,-6.5351,-1.5048999999999992,-6.4409,-1.599099999999999,-6.4925,-1.5474999999999994,-6.538,-1.501999999999999,Benzo[b]fluorene  ,C[1]H2C[4]CH=C[7]C(=CHC=@4C[12]CH=CHCH=CHC@1=@12)CH=CHCH=CH@7
