No,Entry,Expt.,ClogP,Polarizability,Predicted,Residual,Predicted,Residual,Predicted,Residual,Predicted,Residual,SLN
1,10024055,-2.43,1.54,223.502,-2.5605,0.13050000000000006,-2.2026,-0.22740000000000027,-2.2908,-0.1392000000000002,-1.9392,-0.4908000000000001,C[1](C[2]N(C(=CHN=@2)C(=O)NH2)CH2CH2C[19]=C@1CH=CHCH=CH@19)CH2CH2NHCH2CH2@1
2,1004292,-4.396,4.1,237.246,-4.1883,-0.2077,-4.337,-0.05900000000000016,-4.7389,0.3429000000000002,-4.8232,0.4272,C[1](=C[2]C(=C(C[5]=C@1CH=CHCH=CH@5)CH3)CH=CHCH=CH@2)CH2N[30]CH2CH2OCH2CH2@30
3,102320,-1.275,0.0416,245.973,-2.3479,1.0729000000000002,-2.6515,1.3765,-2.3442,1.0692,-2.7966,1.5216000000000003,C[1]C[2]HC[4]HC[6]HCH2CH@1N[+1](CH2CH2@1)(CH2C@6=CHCH2OCH@4CH2C(N@2C[37]=C@1CH=CHCH=CH@37)=O)O[-1]
4,10384,-5.593,3.58,175.355,-3.9719,-1.6210999999999998,-4.102,-1.4909999999999997,-3.9202,-1.6728,-4.0846,-1.5084,C[1]N(C[3]=C(SC=@1CH=CHCH=CH@1)CH=CHCH=CH@3)CH3
5,1073987,-1.738,0.31,124.068,-1.0987,-0.6393,-1.138,-0.6000000000000001,-1.2488,-0.4892000000000001,-1.3431,-0.39490000000000003,C[1](C(NHCH2C(OH)=O)=O)=CHCH=CHCH=CH@1
6,10795,-3.065,0.93,144.291,-2.3034,-0.7616,-2.2771,-0.7879,-2.5285,-0.5364999999999998,-2.6229,-0.44209999999999994,C[1](C[2]=CHCH=CHCH=CH@2)=NC[14]HC(=N@1)CH=NCH=N@14
7,1081814,-4.819,2.81,167.868,-4.6291,-0.18989999999999974,-4.6322,-0.18679999999999986,-4.8055,-0.013499999999999623,-4.9901,0.17110000000000003,C[1](C[2]OC(=CHCH=@2)N[+1](O[-1])=O)=NC[13]=C(NH@1)CH=CHC(=CH@13)Cl
8,1083610,-4.966,4.85,238.977,-5.2917,0.32569999999999943,-5.2627,0.2966999999999995,-5.257,0.2909999999999995,-5.2627,0.2966999999999995,C[1](=C(SC(=N@1)C[6]=CHCH=CHCH=CH@6)CH2C(OH)=O)C[24]=CHCH=C(CH=CH@24)Cl
9,1083797,-4.244,2.42,163.836,-3.1209,-1.1231,-2.9476,-1.2963999999999998,-2.7808,-1.4631999999999996,-2.5263,-1.7176999999999998,S(C[2]C(=NON[+1]=@2O[-1])OCH2CH3)(C[16]=CHCH=CHCH=CH@16)(=O)=O
10,1101972,-1.959,2.4,118.061,-2.0936,0.13459999999999983,-1.8662,-0.0928,-2.0098,0.050799999999999734,-1.7898,-0.16920000000000002,C[1](C(OCH2CH3)=O)=CHCH=C(CH=CH@1)OH
11,1103245,-2.706,2.93,130.545,-2.4485,-0.25749999999999984,-2.1795,-0.5265,-2.4025,-0.3035000000000001,-2.165,-0.5409999999999999,C[1](C(OCH2CH2CH3)=O)=CHCH=C(CH=CH@1)OH
12,1103470,-2.511,0.98,140.705,-2.2196,-0.2914000000000003,-2.4553,-0.055700000000000305,-2.2047,-0.30630000000000024,-2.3694,-0.14159999999999995,C[1]H(C[3]=CHCH=CHCH=CH@3)CH2C(CH2C(CH2@1)=O)=O
13,1103741,-2.987,3.46,143.029,-2.8143,-0.1727000000000003,-2.5119,-0.4751000000000003,-2.7987,-0.1882999999999999,-2.5186,-0.4683999999999999,C[1](C(OCH2CH2CH2CH3)=O)=CHCH=C(CH=CH@1)OH
14,1107185,-3.553,2.47,131.133,-2.4508,-1.1021999999999998,-2.1712,-1.3818000000000001,-2.394,-1.1589999999999998,-2.0761,-1.4769,C[1](C(OCH3)=O)=CHCH=C(CH=CH@1)C(OCH3)=O
15,1109672,-3.509,3.24,144.289,-3.0245,-0.4844999999999997,-2.9578,-0.5511999999999997,-2.7872,-0.7218,-2.7163,-0.7927,S(C[2]=CHCH=C(CH=CH@2)CH3)(N(Cl)Cl)(=O)=O
16,1117315,-3.23,3.15,145.075,-4.0553,0.8252999999999999,-4.1668,0.9368000000000003,-4.1296,0.8996,-4.2301,1.0001000000000002,C[1](=C(C(=CHC(=CH@1)Cl)Cl)OCH2C(OH)=O)Cl
17,11351,-2.312,1.63,132.552,-2.8148,0.5028000000000001,-2.8459,0.5339,-2.7981,0.4861,-2.8846,0.5726,C[1]=C(CH(OC@1=O)CH2CH3)CH=CHC(=CH@1)C#N
18,11728,-2.676,2.74,158.182,-2.5377,-0.1383000000000001,-1.9909,-0.6851000000000003,-2.5418,-0.13420000000000032,-2.237,-0.43900000000000006,C[1](=NC(=NC(=N@1)SCH3)NHCH2CH3)NHCH2CH3
19,11744,-0.815,0.23,154.821,-0.0222,-0.7928,0.0401,-0.8551,-0.7829,-0.032099999999999906,-0.9355,0.12050000000000005,P[1](N(CH2CH2Cl)CH2CH2Cl)(OCH2CH2CH2NH@1)=O
20,120017,-1.367,-0.49,139.059,-1.6305,0.26350000000000007,-2.6627,1.2957,-1.5816,0.2145999999999999,-2.6263,1.2593,C[1]=C(N=C(CH2C(=N@1)CH3)CH3)CH=CHCH=CH@1
21,120943,-2.654,1.99,125.761,-2.444,-0.20999999999999996,-2.2279,-0.4260999999999999,-2.2609,-0.3931,-2.1408,-0.5131999999999999,C[1]S(CH=CHC=@1CH=C(CH=CH@1)CH3)(=O)=O
22,1211465,-3.056,3.01,148.448,-2.8548,-0.20120000000000005,-2.6553,-0.40070000000000006,-2.809,-0.2469999999999999,-2.5893,-0.4666999999999999,C[1](C(OCH2CH2CH2CH3)=O)=CHCH=C(CH=CH@1)NH2
23,1220752,-3.886,4.02,189.866,-4.5934,0.7073999999999998,-4.3118,0.42579999999999973,-4.7192,0.8331999999999997,-4.4154,0.5293999999999999,C[1]C[2]=C[3]C(=CHC=@1CH2CH2CH2N@1CH2CH2CH2@2)C(=CHC(O@3)=O)CH3
24,1223125,-3.433,2.5,227.33,-4.7956,1.3626000000000005,-5.3081,1.8750999999999998,-4.8247,1.3917000000000002,-5.2535,1.8205,N[1]C[2]=C(C(=NCH2C@1=NN=C@1CH3)C[17]=CHCH=CHCH=CH@17)CH=C(CH=CH@2)Cl
25,1239196,-2.369,3.21,143.507,-2.1996,-0.1694,-1.7268,-0.6422000000000003,-2.2893,-0.07970000000000033,-1.8909,-0.4781000000000002,N[1](C(SCH2CH3)=O)CH2CH2CH2CH2CH2CH2@1
26,123977,-2.665,2.12,125.761,-2.2614,-0.40359999999999996,-1.9559,-0.7091000000000001,-2.0983,-0.5667,-1.8818,-0.7832000000000001,S[1](C[2]=C(C(=CH@1)CH3)CH=CHCH=CH@2)(=O)=O
27,1240087,-2.222,1.08,145.212,-1.9924,-0.22960000000000003,-2.1927,-0.029300000000000104,-2.0577,-0.1642999999999999,-2.1146,-0.10740000000000016,C[1](SCH(CH2S@1)CH2OC(=O)NH2)(CH3)CH3
28,124230,-2.621,2.65,124.136,-2.3534,-0.26759999999999984,-2.0428,-0.5781999999999998,-2.1524,-0.4685999999999999,-1.9117,-0.7093,C[1](=C(CH=C(NH@1)CH3)CH3)C(OCH2CH3)=O
29,1244426,-1.886,0.82,139.764,-1.8194,-0.06659999999999999,-1.8753,-0.010699999999999932,-1.7565,-0.12949999999999995,-1.7602,-0.1257999999999999,C[1](OCH(CH2O@1)CH2OC(=O)NH2)CH2CH2CH2CH2CH2@1
30,1244469,-3.522,2.12,175.882,-2.9515,-0.5705,-3.0054,-0.5166,-2.984,-0.5379999999999998,-2.9289,-0.5930999999999997,C[1](SCH(CH2S@1)CH2OC(=O)NH2)CH2CH2CH2CH2CH2@1
31,1246090,-3.012,2.67,187.615,-4.1526,1.1405999999999996,-4.1582,1.1461999999999999,-3.8684,0.8563999999999998,-3.842,0.8300000000000001,N[1](C[2]=C(CH=CHC[8]=C@1CH=CHCH=CH@8)CH=CHCH=CH@2)C(=O)NH2
32,1247202,-5.227,3.34,153.121,-4.1626,-1.0644,-4.0989,-1.1280999999999999,-4.3047,-0.9222999999999999,-4.2028,-1.0242000000000004,C[1]=C(CH=C[5]C(=CH@1)CH=C(O@5)CH3)OC(CH=C@1CH3)=O
33,124966,-3.319,2.79,136.703,-2.9868,-0.33219999999999983,-2.9127,-0.4062999999999999,-2.9617,-0.35729999999999995,-3.0073,-0.3117000000000001,C[1]C(CH=C(C(=N@1)CH3)CH3)=CHCH=CHC=@1OH
34,126322,-1.088,2.17,124.807,-2.2223,1.1343,-2.0765,0.9884999999999997,-2.2361,1.1481,-2.1293,1.0413000000000001,C[1]C(CH=CHC(=N@1)C(OH)=O)=CHCH=CHCH=@1
35,126544,-0.043,1.81,124.807,-1.9852,1.9422000000000001,-1.8785,1.8355000000000001,-1.9401,1.8971,-1.8214,1.7784,C[1]C(=CHCH=C(CH=@1)C(OH)=O)N=CHCH=CH@1
36,128414,-3.73,2.8,134.684,-3.0719,-0.6581000000000001,-2.6909,-1.0391,-3.0978,-0.6322000000000001,-2.8331,-0.8969,C[1]C[2]=C(NHC=@1CH=NCH=CH@1)CH=CHCH=CH@2
37,1284545,-3.278,3.11,146.937,-2.8195,-0.4584999999999999,-2.8232,-0.4548000000000001,-2.7272,-0.5508000000000002,-2.7036,-0.5744000000000002,S(C[2]=CHCH=CHCH=CH@2)(N(Br)Br)(=O)=O
38,1285133,-2.824,1.32,157.823,-2.3371,-0.4868999999999999,-2.4438,-0.38019999999999987,-2.3023,-0.5217,-2.3789,-0.44510000000000005,C[1](OCH(CH2S@1)CH2OC(=O)NH2)CH2CH2CH2CH2CH2@1
39,129176,-1.742,1,124.807,-1.7515,0.009500000000000064,-1.9275,0.1855,-1.7703,0.028299999999999992,-1.9531,0.21110000000000007,C[1]=C(C(OH)=O)CH=CHCH=C@1CH=CHCH=N@1
40,129178,-2.675,1.76,124.807,-1.9681,-0.7068999999999999,-1.8785,-0.7964999999999998,-1.8398,-0.8351999999999997,-1.7448,-0.9301999999999999,C[1]=C(C(OH)=O)CH=CHCH=C@1N=CHCH=CH@1
41,1293536,-4.904,3.42,227.301,-4.5998,-0.3041999999999998,-4.6907,-0.21330000000000027,-4.7102,-0.19379999999999953,-4.7056,-0.19840000000000035,C[1](CH(C[4]=CHCH=CHCH=CH@4)CH2C(=O)CH3)=C(C[25]=C(OC@1=O)CH=CHCH=CH@25)OH
42,129536,-3.114,2.08,171.209,-2.2902,-0.8237999999999999,-2.4343,-0.6797,-2.1464,-0.9676,-2.3202,-0.7938000000000001,C[1](CH2OCH(OCH2@1)CH(CH3)CH3)CH2OCH(OCH2@1)CH(CH3)CH3
43,1307993,-2.677,1.61,121.78,-1.7715,-0.9055,-1.9284,-0.7486000000000002,-1.9697,-0.7073,-2.0522,-0.6248,C[1](=CHC(OCH3)=CHC(=CH@1)OCH3)OCH3
44,132654,-1.837,2.48,132.901,-2.0924,0.25540000000000007,-1.9037,0.06669999999999998,-2.1076,0.2706000000000002,-1.8838,0.04679999999999995,C[1](C(OCH2CH2CH2CH3)=O)=CHN=CHCH=CH@1
45,133737,-1.552,0.23,124.815,-1.4648,-0.08719999999999994,-1.4828,-0.06920000000000015,-1.3392,-0.2128000000000001,-1.2904,-0.26160000000000005,C[1]C(N=CHC(=N@1)SCH3)=CHN=CHN=@1
