No,Expt.,ClogP,MP,Polarizability,Predicted,Residual,Predicted,Residual,Predicted,Residual,Predicted,Residual,Name,SLN
1,-3.3707,0.83,543.15,257.823,-2.6254,-0.7452999999999999,-2.5315,-0.8392,-2.5461,-0.8245999999999998,-2.4183,-0.9523999999999999,triamcinolone,FC[2:s=N]CH(C[5:s=N]HC[s=N](C[s=I](OH)(C[s=I]H(OH)CH2@5)C(=O)CH2OH)(CH2C[s=I]H@2OH)CH3)CH2CH2C[42]C[s=N]@2(CH3)CH=CHC(=O)CH=@42
2,-3.8032,4.54,421.15,233.512,-3.533,-0.2702,-3.397,-0.4062000000000001,-3.7075,-0.0956999999999999,-3.5349,-0.2683,pentazocine,OHC[3]=CHC[6]C[7:s=N](C[s=I]H(CH(N(CH2CH2@7)CH2CH=C(CH3)CH3)CH2C=@6CH=CH@3)CH3)CH3
3,-5.507,4.7,498.15,254.636,-5.8375,0.3305000000000007,-5.8167,0.3097000000000003,-5.7868,0.2798000000000007,-5.7189,0.21189999999999998,danazol,OHC[3:s=I](C[4:s=I](CH(C[7:s=N]HC[s=N]H(C[11:s=I](C(CH2CH2@7)=CHC[21]ON=CHC=@21CH2@11)CH3)CH2CH2@4)CH2CH2@3)CH3)C#CH
4,-3.0461,1.43,492.15,253.73,-2.9439,-0.10219999999999985,-2.9678,-0.07830000000000004,-3.0318,-0.01429999999999998,-3.0647,0.018600000000000172,hydrocortisone,OHC[3:s=N](C[4:s=I](CH(C[7:s=N]HC[s=N]H(C[11:s=I](C(CH2CH2@7)=CHC(=O)CH2CH2@11)CH3)C[s=N]H(OH)CH2@4)CH2CH2@3)CH3)C(=O)CH2OH
5,-3.7945,1.87,506.15,266,-3.2655,-0.5290000000000004,-3.2052,-0.5893000000000002,-3.1441,-0.6504000000000003,-2.9996,-0.7949000000000002,betamethasone,FC[2]CH(C[5]HC(C(OH)(CH(CH2@5)CH3)C(=O)CH2OH)(CH2CH@2OH)CH3)CH2CH2C[44]C@2(CH3)CH=CHC(=O)CH=@44
6,-4.0718,3.53,493.15,226.081,-4.8088,0.7370000000000001,-4.5113,0.43950000000000067,-4.4546,0.3828000000000005,-4.136,0.06420000000000048,griseofulvin,ClC[2]C[3]OC[5:s=N](C[s=N]H(CH2C(=O)CH=C@5OCH3)CH3)C(=O)C=@3C(OCH3)=CHC=@2OCH3
7,-3.6402,2.96,406.15,210.202,-3.9935,0.35329999999999995,-3.9873,0.34709999999999974,-3.9692,0.32899999999999974,-3.9506,0.3104,diazepam,ClC[2]=CHC[5]=C(N(C(=O)CH2N=C@5C[15]=CHCH=CHCH=CH@15)CH3)CH=CH@2
8,-4.9073,3.78,456.15,329.008,-4.5452,-0.36209999999999987,-4.4832,-0.42410000000000014,-4.2084,-0.6989000000000001,-4.0626,-0.8447000000000005,betamethasone 17-valerate,FC[2:s=N]CH(C[5]HC[s=N](C[s=I](OC(=O)CH2CH2CH2CH3)(C[s=I]H(CH2@5)CH3)C(=O)CH2OH)(CH2C[s=I]H@2OH)CH3)CH2CH2C[58]C[s=N]@2(CH3)CH=CHC(=O)CH=@58
9,-1.6405,0.69,393.9,124.068,-1.7415,0.10099999999999998,-1.678,0.03749999999999987,-1.846,0.20550000000000002,-1.7092,0.06869999999999998,Skeleton = 2,C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NH2)=O)=O
10,-1.2675,0.37,399.65,186.925,-1.4222,0.15469999999999984,-1.2086,-0.058900000000000174,-1.7274,0.4599,-1.5325,0.2649999999999999,"Skeleton = 2, R1 = C(CH2OH)3",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHC(CH2OH)(CH2OH)CH2OH)=O)=O
11,-1.372,0.67,354.65,149.036,-1.4196,0.047599999999999865,-1.5627,0.19069999999999987,-1.5349,0.16289999999999982,-1.6331,0.2610999999999999,"Skeleton = 2, R1 = CH3, R2 = CH3",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH3)CH3)=O)=O
12,-2.5625,2.6,315.65,197.66,-2.6676,0.1051000000000002,-2.6587,0.09620000000000006,-3.0695,0.5070000000000001,-3.0706,0.5081000000000002,"Skeleton = 2, R1 = CH2CH=CH2, R2 = CH2CH=CH2",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH=CH2)CH2CH=CH2)=O)=O
13,-1.7178,0.87,384.65,136.552,-1.6475,-0.07030000000000003,-1.6229,-0.09489999999999998,-1.7277,0.00990000000000002,-1.6615,-0.05630000000000002,"Skeleton = 2, R1 = CH3",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH3)=O)=O
14,-0.9184,0.08,374.65,171.834,-1.6225,0.7041000000000001,-1.5453,0.6268999999999999,-1.8856,0.9672,-1.8309,0.9125,"Skeleton = 2, R1 = CH3, R2 = CH2CONH2",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(NH2)=O)CH3)=O)=O
15,-1.0897,0.36,352.15,165.827,-1.3061,0.21640000000000015,-1.4372,0.34750000000000014,-1.3959,0.3062,-1.4817,0.3920000000000001,"Skeleton = 2, R1 = CH3, R2 = CH2CH2OH",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH2OH)CH3)=O)=O
16,-1.5732,1.28,330.65,207.586,-1.8239,0.25070000000000014,-1.8832,0.31000000000000005,-2.1069,0.5337000000000001,-2.1575,0.5843000000000003,"Skeleton = 2, R1 = CH2CH2OCH3, R2 = CH2CH2OCH3",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH2OCH3)CH2CH2OCH3)=O)=O
17,-2.254,0.67,433.65,166.415,-1.5094,-0.7445999999999999,-1.5423,-0.7117,-1.7791,-0.4749000000000001,-1.9019,-0.3521000000000001,"Skeleton = 2, R1 = CH3, R2 = CH2COOH",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(OH)=O)CH3)=O)=O
18,-1.6679,1.98,312.65,191.383,-2.4372,0.7692999999999999,-2.3092,0.6413000000000002,-2.714,1.0461,-2.6567,0.9887999999999999,"Skeleton = 2, R1 = CH3, R2 = CH2COOC2H5",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(OCH2CH3)=O)CH3)=O)=O
19,-2.2373,1.4,379.15,149.036,-1.9955,-0.2417999999999998,-1.9576,-0.27969999999999984,-2.1088,-0.12849999999999984,-2.0697,-0.16759999999999975,"Skeleton = 2, R1 = C2H5",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2CH3)=O)=O
20,-1.6085,1.02,347.65,154.738,-1.9,0.29149999999999987,-1.9409,0.33240000000000003,-1.7919,0.1834,-1.875,0.26649999999999996,"Skeleton = 2, NR1R2 = azetidine",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2@18)=O)=O
21,-1.5685,1.59,330.9,167.222,-2.1844,0.6159000000000001,-2.1376,0.5690999999999999,-2.2394,0.6708999999999998,-2.2489,0.6803999999999999,"Skeleton = 2, NR1R2 = pyrrolidine",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2@18)=O)=O
22,-2.5011,2.15,361.15,179.706,-2.5164,0.01529999999999987,-2.4125,-0.08860000000000001,-2.705,0.20389999999999997,-2.6763,0.1751999999999998,"Skeleton = 2, NR1R2 = piperidine",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2CH2@18)=O)=O
23,-1.7734,1.1,376.65,171.529,-1.9544,0.18099999999999983,-1.9271,0.15369999999999995,-2.1645,0.3910999999999998,-2.166,0.39259999999999984,"Skeleton = 2, NR1R2 = morpholine",C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2OCH2CH2@18)=O)=O
